period,num_trips,total_amount,trip_distance,passenger_count
2023-02-19,55,910.8999999999999,0.01,54.0
2008-12-28,2,65.95,14.33,2.0
2023-03-12,781387,21837350.149999063,3042660.760000017,1037892.0
2023-02-26,462235,12394000.919999864,2028345.879999998,604453.0
2023-03-05,776671,21225629.029998824,2735082.4200000297,1019561.0
2014-11-16,1,52.38,6.43,2.0
2023-03-26,642270,18308221.5299992,2733522.6800000146,841559.0
2002-12-29,5,326.7,62.669999999999995,7.0
2000-12-31,3,171.7,34.22,5.0
2023-03-19,741068,20867934.249998964,2747952.940000021,977864.0
2023-04-02,69,1693.55,179.48000000000002,100.0
